sku,sku_name,product_family,price_tier,sku_price,sale_year,quarter_label,total_transactions,total_revenue,gross_revenue,returns,return_rate_pct,total_refund_cost,online_units,instore_units,event_day_units,non_event_units,revenue_rank_in_year
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2023,Q4 2023,15815,197575971.00,195361971.00,786,4.97,10217214.00,4674,11141,8981,6834,14
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2023,Q1 2023,15636,195108656.00,192957156.00,792,5.07,10295208.00,4523,11113,4217,11419,15
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2023,Q2 2023,15587,195040667.00,192814167.00,754,4.84,9801246.00,4691,10896,9146,6441,16
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2023,Q3 2023,16075,147160248.00,144878748.00,823,5.12,7817677.00,4786,11289,2169,13906,17
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2023,Q1 2023,15705,144074572.00,141801072.00,777,4.95,7380723.00,4781,10924,4177,11528,18
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2023,Q2 2023,15695,144019573.00,141791573.00,768,4.89,7295232.00,4688,11007,9170,6525,19
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2023,Q4 2023,15611,143169660.00,140965160.00,771,4.94,7323729.00,4632,10979,8807,6804,20
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2023,Q3 2023,16241,140969087.00,138701587.00,828,5.1,7451172.00,4789,11452,2263,13978,21
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2023,Q4 2023,15923,138450363.00,136217863.00,786,4.94,7073214.00,4712,11211,9047,6876,22
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2023,Q1 2023,15522,135344704.00,133149204.00,726,4.68,6533274.00,4596,10926,4211,11311,23
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2023,Q2 2023,15550,135132225.00,132960225.00,775,4.98,6974225.00,4590,10960,9183,6367,24
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2023,Q4 2023,15806,129740999.00,127493499.00,805,5.09,6841695.00,4732,11074,8829,6977,25
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2023,Q2 2023,15801,129714000.00,127485000.00,801,5.07,6807699.00,4711,11090,9198,6603,26
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2023,Q3 2023,15751,129243056.00,127009056.00,807,5.12,6858693.00,4692,11059,2125,13626,27
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2023,Q1 2023,15478,127438266.00,125224266.00,744,4.81,6323256.00,4655,10823,4084,11394,28
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2023,Q4 2023,16197,117682610.00,115409610.00,807,4.98,6051693.00,4785,11412,9141,7056,29
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2023,Q3 2023,16010,116253305.00,113947305.00,815,5.09,6111685.00,4863,11147,2246,13764,30
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2023,Q2 2023,15720,114172076.00,111915076.00,796,5.06,5969204.00,4754,10966,9055,6665,31
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2023,Q1 2023,15432,111845875.00,109672875.00,807,5.23,6051693.00,4587,10845,4051,11381,32
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2023,Q4 2023,15959,108719295.00,106419795.00,754,4.72,5277246.00,4840,11119,9044,6915,33
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2023,Q3 2023,15857,107626449.00,105341949.00,806,5.08,5641194.00,4807,11050,2210,13647,34
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2023,Q4 2023,15762,107197004.00,104957004.00,766,4.86,5361234.00,4720,11042,8838,6924,35
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2023,Q3 2023,15763,107153506.00,104943006.00,769,4.88,5382231.00,4669,11094,2213,13550,36
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2023,Q2 2023,15693,106618589.00,104362089.00,782,4.98,5473218.00,4749,10944,9154,6539,37
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2023,Q2 2023,15703,106602090.00,104355090.00,793,5.05,5550207.00,4735,10968,9184,6519,38
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2023,Q1 2023,15651,106323625.00,104110125.00,776,4.96,5431224.00,4675,10976,4175,11476,39
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2023,Q1 2023,15392,104496378.00,102339378.00,770,5,5389230.00,4551,10841,4221,11171,40
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2023,Q3 2023,15927,100444901.00,98128401.00,828,5.2,5381172.00,4879,11048,2288,13639,41
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2023,Q2 2023,15851,99858978.00,97627978.00,829,5.23,5387671.00,4704,11147,9285,6566,42
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2023,Q4 2023,15764,99581029.00,97296529.00,793,5.03,5153707.00,4782,10982,8889,6875,43
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2023,Q1 2023,15433,97159888.00,94963388.00,821,5.32,5335679.00,4618,10815,4073,11360,44
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2023,Q3 2023,15974,93249844.00,90920844.00,818,5.12,4907182.00,4917,11057,2295,13679,45
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2023,Q3 2023,15942,93212845.00,90914845.00,787,4.94,4721213.00,4850,11092,2233,13709,46
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2023,Q2 2023,15907,92908891.00,90638891.00,798,5.02,4787202.00,4775,11132,9189,6718,47
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2023,Q4 2023,15824,92689934.00,90380934.00,758,4.79,4547242.00,4864,10960,8973,6851,48
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2023,Q4 2023,15750,92385974.00,90140974.00,724,4.6,4343276.00,4695,11055,8887,6863,49
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2023,Q2 2023,15706,91825563.00,89607063.00,769,4.9,4613231.00,4676,11030,9084,6622,50
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2023,Q1 2023,15575,91199673.00,88947173.00,748,4.8,4487252.00,4724,10851,4190,11385,51
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2023,Q1 2023,15400,89956874.00,87741374.00,774,5.03,4643226.00,4650,10750,4105,11295,52
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2023,Q3 2023,16090,78592739.00,76289739.00,829,5.15,4144171.00,4866,11224,2311,13779,53
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2023,Q4 2023,15741,77123024.00,74865024.00,765,4.86,3824235.00,4768,10973,8884,6857,54
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2023,Q2 2023,15687,76410658.00,74195158.00,845,5.39,4224155.00,4689,10998,9289,6398,55
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2023,Q1 2023,15450,75465840.00,73285340.00,790,5.11,3949210.00,4576,10874,4173,11277,56
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2023,Q4 2023,16053,71033220.00,68744720.00,773,4.82,3477727.00,4815,11238,9093,6960,57
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2023,Q3 2023,16050,70869766.00,68537766.00,816,5.08,3671184.00,4903,11147,2260,13790,58
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2023,Q2 2023,15853,70067932.00,67790932.00,785,4.95,3531715.00,4803,11050,9202,6651,59
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2023,Q1 2023,15458,68418285.00,66202785.00,743,4.81,3342757.00,4670,10788,4123,11335,60
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2023,Q2 2023,15834,54807970.00,52589970.00,804,5.08,2813196.00,4676,11158,9244,6590,61
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2023,Q3 2023,15769,54799489.00,52523489.00,758,4.81,2652242.00,4758,11011,2228,13541,62
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2023,Q4 2023,15823,54794983.00,52544483.00,806,5.09,2820194.00,4742,11081,8995,6828,63
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2023,Q1 2023,15471,53511330.00,51330330.00,801,5.18,2802699.00,4604,10867,4112,11359,64
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2023,Q3 2023,16032,46443356.00,44192356.00,788,4.92,2284412.00,4740,11292,2200,13832,65
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2023,Q4 2023,15825,45781182.00,43537182.00,807,5.1,2339493.00,4742,11083,8947,6878,66
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2023,Q2 2023,15634,45226655.00,43035655.00,789,5.05,2287311.00,4618,11016,9062,6572,67
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2023,Q1 2023,15411,44730719.00,42560219.00,730,4.74,2116270.00,4556,10855,4168,11243,68
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2023,Q3 2023,15851,39847950.00,37609950.00,801,5.05,2001699.00,4709,11142,2166,13685,69
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2023,Q4 2023,15781,39698502.00,37480002.00,783,4.96,1956717.00,4657,11124,8974,6807,70
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2023,Q1 2023,15568,39055762.00,36830262.00,830,5.33,2074170.00,4706,10862,4104,11464,71
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2023,Q2 2023,15400,38706886.00,36520386.00,786,5.1,1964214.00,4603,10797,8947,6453,72
SKU0004,Nova Ergonomic Wireless Mouse,Mouse,Budget,2199.00,2023,Q4 2023,15846,35428333.00,33132333.00,779,4.92,1713021.00,4849,10997,9062,6784,73
SKU0004,Nova Ergonomic Wireless Mouse,Mouse,Budget,2199.00,2023,Q3 2023,15775,35180724.00,32932224.00,799,5.06,1757001.00,4743,11032,2189,13586,74
SKU0004,Nova Ergonomic Wireless Mouse,Mouse,Budget,2199.00,2023,Q1 2023,15668,34921426.00,32707926.00,794,5.07,1746006.00,4656,11012,4114,11554,75
SKU0004,Nova Ergonomic Wireless Mouse,Mouse,Budget,2199.00,2023,Q2 2023,15651,34833665.00,32622165.00,816,5.21,1794384.00,4670,10981,9015,6636,76
SKU0003,Nova Wireless Mouse,Mouse,Budget,1799.00,2023,Q3 2023,15754,29182834.00,26923834.00,788,5,1417612.00,4762,10992,2269,13485,77
SKU0003,Nova Wireless Mouse,Mouse,Budget,1799.00,2023,Q4 2023,15805,29166623.00,26943623.00,828,5.24,1489572.00,4688,11117,8870,6935,78
SKU0003,Nova Wireless Mouse,Mouse,Budget,1799.00,2023,Q1 2023,15648,28963675.00,26670175.00,823,5.26,1480577.00,4818,10830,4181,11467,79
SKU0003,Nova Wireless Mouse,Mouse,Budget,1799.00,2023,Q2 2023,15539,28731740.00,26553240.00,779,5.01,1401421.00,4565,10974,9141,6398,80
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2024,Q3 2024,21902,523970687.00,520304187.00,1089,4.97,27223911.00,7730,14172,260,21642,1
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2024,Q1 2024,21803,522640743.00,518904243.00,1046,4.8,26148954.00,7859,13944,8633,13170,2
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2024,Q4 2024,21855,521713781.00,517954281.00,1136,5.2,28398864.00,7934,13921,12324,9531,3
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2024,Q2 2024,21548,516258499.00,512504499.00,1047,4.86,26173953.00,7875,13673,12603,8945,4
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2024,Q4 2024,21906,399007196.00,395255196.00,1102,5.03,20936898.00,7893,14013,12488,9418,5
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2024,Q3 2024,21907,398051748.00,394267248.00,1155,5.27,21943845.00,7957,13950,258,21649,6
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2024,Q1 2024,21745,395726862.00,392101362.00,1107,5.09,21031893.00,7629,14116,8568,13177,7
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2024,Q2 2024,21642,392735520.00,389099520.00,1162,5.37,22076838.00,7672,13970,12577,9065,8
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2024,Q3 2024,22280,363179361.00,359341861.00,1141,5.12,19395859.00,8101,14179,253,22027,9
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2024,Q4 2024,22005,359329582.00,355585082.00,1087,4.94,18477913.00,7887,14118,12473,9532,10
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2024,Q1 2024,21882,356923221.00,353222221.00,1103,5.04,18749897.00,7813,14069,8654,13228,11
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2024,Q2 2024,21788,355285324.00,351471324.00,1112,5.1,18902888.00,8021,13767,12672,9116,12
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2024,Q2 2024,22032,276311533.00,272550033.00,1065,4.83,13843935.00,7935,14097,12867,9165,13
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2024,Q4 2024,21890,274700657.00,270938157.00,1047,4.78,13609953.00,7905,13985,12410,9480,14
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2024,Q3 2024,21920,273686236.00,269911236.00,1156,5.27,15026844.00,7954,13966,241,21679,15
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2024,Q1 2024,21562,270325493.00,266570493.00,1055,4.89,13713945.00,7876,13686,8533,13029,16
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2024,Q4 2024,22090,202944032.00,199175032.00,1122,5.08,10657878.00,7937,14153,12576,9514,17
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2024,Q3 2024,21931,201696661.00,197949661.00,1092,4.98,10372908.00,7897,14034,265,21666,18
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2024,Q2 2024,21853,200997240.00,197199240.00,1093,5,10382407.00,7996,13857,12721,9132,19
SKU0020,Lumos Desk Lamp with Wireless Charging,Desk Lamp,Premium,9499.00,2024,Q1 2024,21655,198857954.00,195166454.00,1109,5.12,10534391.00,7797,13858,8604,13051,20
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2024,Q3 2024,22147,192873486.00,189104986.00,1133,5.12,10195867.00,7946,14201,257,21890,21
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2024,Q4 2024,22069,192798000.00,188979000.00,1069,4.84,9619931.00,8023,14046,12484,9585,22
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2024,Q1 2024,21960,191640122.00,187881122.00,1082,4.93,9736918.00,7929,14031,8673,13287,23
SKU0011,Zenith Smartwatch Lite,Smartwatch,Premium,8999.00,2024,Q2 2024,21638,188907923.00,185172423.00,1061,4.9,9547939.00,7862,13776,12579,9059,24
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2024,Q4 2024,22070,182099013.00,178368513.00,1083,4.91,9204417.00,7834,14236,12453,9617,25
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2024,Q3 2024,21950,181605081.00,177790581.00,1031,4.7,8762469.00,7993,13957,222,21728,26
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2024,Q1 2024,21861,180441710.00,176694210.00,1071,4.9,9102429.00,7864,13997,8643,13218,27
SKU0015,Orbit Fitness Band Plus,Fitness Band,Premium,8499.00,2024,Q2 2024,21690,178549427.00,174849927.00,1117,5.15,9493383.00,7787,13903,12538,9152,28
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2024,Q4 2024,22153,161566462.00,157763962.00,1115,5.03,8361385.00,8029,14124,12466,9687,29
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2024,Q3 2024,21835,159224762.00,155514262.00,1097,5.02,8226403.00,7859,13976,223,21612,30
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2024,Q2 2024,21680,158260893.00,154531893.00,1073,4.95,8046427.00,7841,13839,12633,9047,31
SKU0008,Echo Portable Bluetooth Speaker Plus,Speaker,Mid-Range,7499.00,2024,Q1 2024,21673,158085910.00,154404410.00,1083,5,8121417.00,7756,13917,8705,12968,32
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2024,Q1 2024,22233,151566888.00,147762888.00,1121,5.04,7845879.00,8023,14210,8648,13585,33
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2024,Q4 2024,22163,151002466.00,147216966.00,1129,5.09,7901871.00,7968,14195,12355,9808,34
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2024,Q4 2024,22093,150642022.00,146825022.00,1115,5.05,7803885.00,8042,14051,12515,9578,35
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2024,Q3 2024,22029,150179084.00,146391084.00,1113,5.05,7789887.00,7982,14047,231,21798,36
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2024,Q3 2024,22001,149895620.00,146139120.00,1121,5.1,7845879.00,7919,14082,255,21746,37
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2024,Q1 2024,21946,149775629.00,146076129.00,1075,4.9,7523925.00,7821,14125,8696,13250,38
SKU0019,Apex USB-C Hub (8-in-1),USB Hub,Mid-Range,6999.00,2024,Q2 2024,21772,148539813.00,144788313.00,1085,4.98,7593915.00,7850,13922,12609,9163,39
SKU0014,Orbit Fitness Band,Fitness Band,Mid-Range,6999.00,2024,Q2 2024,21805,148459819.00,144746319.00,1124,5.15,7866876.00,7824,13981,12672,9133,40
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2024,Q4 2024,22105,140478964.00,136712964.00,1069,4.84,6947431.00,7913,14192,12410,9695,41
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2024,Q3 2024,21990,139536606.00,135790106.00,1096,4.98,7122904.00,7931,14059,259,21731,42
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2024,Q1 2024,21678,137590398.00,133892398.00,1076,4.96,6992924.00,7807,13871,8543,13135,43
SKU0006,Pulse Bluetooth Earbuds Pro,Earbuds,Mid-Range,6499.00,2024,Q2 2024,21660,137585890.00,133944390.00,1050,4.85,6823950.00,7659,14001,12680,8980,44
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2024,Q4 2024,22201,130054462.00,126206962.00,1163,5.24,6976837.00,8111,14090,12628,9573,45
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2024,Q3 2024,21895,128210245.00,124509245.00,1140,5.21,6838860.00,7784,14111,255,21640,46
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2024,Q3 2024,21812,128113264.00,124395264.00,1076,4.93,6454924.00,7825,13987,244,21568,47
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2024,Q4 2024,21821,128089270.00,124359270.00,1091,5,6544909.00,7827,13994,12241,9580,48
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2024,Q1 2024,21738,127667335.00,123969335.00,1073,4.94,6436927.00,7773,13965,8588,13150,49
SKU0010,"Vertex Power Bank 20,000mAh",Power Bank,Mid-Range,5999.00,2024,Q2 2024,21804,127564356.00,123843356.00,1160,5.32,6958840.00,7866,13938,12639,9165,50
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2024,Q1 2024,21730,127485377.00,123717377.00,1107,5.09,6640893.00,7919,13811,8693,13037,51
SKU0007,Echo Portable Bluetooth Speaker,Speaker,Mid-Range,5999.00,2024,Q2 2024,21719,127426373.00,123741373.00,1092,5.03,6550908.00,7772,13947,12651,9068,52
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2024,Q4 2024,22314,109576344.00,105758844.00,1158,5.19,5788842.00,8066,14248,12560,9754,53
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2024,Q1 2024,22029,108354566.00,104649066.00,1095,4.97,5473905.00,7826,14203,8751,13278,54
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2024,Q3 2024,21986,108186121.00,104374121.00,1107,5.04,5533893.00,8042,13944,249,21737,55
SKU0005,Pulse Bluetooth Earbuds,Earbuds,Mid-Range,4999.00,2024,Q2 2024,21503,105778582.00,102069582.00,1085,5.05,5423915.00,7816,13687,12549,8954,56
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2024,Q3 2024,22036,98228511.00,94429511.00,1047,4.75,4710453.00,8012,14024,259,21777,57
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2024,Q4 2024,21985,97877588.00,94083088.00,1073,4.88,4827427.00,8003,13982,12251,9734,58
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2024,Q2 2024,21935,97484668.00,93723168.00,1103,5.03,4962397.00,7905,14030,12824,9111,59
SKU0018,Apex USB-C Hub (5-in-1),USB Hub,Mid-Range,4499.00,2024,Q1 2024,21605,96214933.00,92530933.00,1038,4.8,4669962.00,7753,13852,8651,12954,60
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2024,Q3 2024,22293,78100766.00,74297766.00,1059,4.75,3705441.00,7986,14307,261,22032,61
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2024,Q4 2024,22133,77400469.00,73587469.00,1102,4.98,3855898.00,7997,14136,12478,9655,62
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2024,Q1 2024,21918,76566685.00,72831685.00,1103,5.03,3859397.00,7878,14040,8691,13227,63
SKU0009,"Vertex Power Bank 10,000mAh",Power Bank,Mid-Range,3499.00,2024,Q2 2024,21567,75465982.00,71792482.00,1049,4.86,3670451.00,7766,13801,12542,9025,64
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2024,Q4 2024,22182,64977789.00,61200789.00,1071,4.83,3104829.00,7961,14221,12468,9714,65
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2024,Q1 2024,21898,63928836.00,60194836.00,1134,5.18,3287466.00,7903,13995,8522,13376,66
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2024,Q3 2024,21849,63854659.00,60128159.00,1108,5.07,3212092.00,7856,13993,194,21655,67
SKU0002,Alpha Smart Charger 30W,Charger,Budget,2899.00,2024,Q2 2024,21711,63450390.00,59748390.00,1101,5.07,3191799.00,7828,13883,12543,9168,68
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2024,Q4 2024,22349,56756314.00,52943814.00,1163,5.2,2906337.00,8028,14321,12628,9721,69
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2024,Q3 2024,21913,55747197.00,51986697.00,1110,5.07,2773890.00,7900,14013,230,21683,70
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2024,Q1 2024,21719,55256882.00,51524382.00,1101,5.07,2751399.00,7882,13837,8653,13066,71
SKU0001,Alpha Smart Charger 20W,Charger,Budget,2499.00,2024,Q2 2024,21571,54708578.00,51034578.00,1149,5.33,2871351.00,7735,13836,12523,9048,72
SKU0004,Nova Ergonomic Wireless Mouse,Mouse,Budget,2199.00,2024,Q4 2024,22026,49848254.00,46060254.00,1080,4.9,2374920.00,7950,14076,12525,9501,73
